mus_vis_2015;nights_2015;beds_2015;stud_high_edu_2015;low_edu_2015;mid_edu_2015;high_edu_2015;prop_workers_mid_edu;prop_pop_high_edu;private_house_2015;pop_private_house_2015;one_pers_house_2015;n_house_2015;housholds_living;households_owning;av_size_house;pop;pop_male;pop_fem;pop_04;pop_over75;total_employment;unemployment_rate
50.923;850.123;9.097;18.224;14.334;19.723;15.066;39,7;30,3;40.597;93.966;12.319;43.682;39.707;29.001;2,3;94.148;43.984;50.164;3.766;11.045;32.231;14,8
75.802;539.989;3.399;206;29.415;15.586;6.374;30,2;12,4;39.868;83.503;13.771;41.777;36.975;24.452;2,1;94.971;47.161;47.810;4.235;7.533;19.065;19,5
3.128.365;1.723.044;15.014;738;16.727;22.424;12.123;43,1;23,3;44.536;88.310;17.389;49.902;40.937;27.091;2;94.604;44.944;49.660;3.681;12.229;33.432;8,2
28.161;228.974;1.797;4.333;14.042;18.996;10.745;43,6;24,7;38.644;82.335;13.764;40.916;36.381;25.489;2,1;84.687;40.264;44.423;3.443;11.677;36.380;7,3
80.885;263.546;1.929;44.030;12.027;18.392;16.568;38,4;34,6;36.224;79.778;12.341;39.062;35.181;23.125;2,2;89.523;42.278;47.245;3.564;12.505;34.398;8,4
17.450;29.507;262;2.954;12.103;18.531;12.423;43;28,8;36.291;82.671;10.509;36.556;34.004;26.063;2,3;83.652;39.142;44.510;3.296;11.666;32.256;8,9
38.831;104.340;1.760;5.810;12.994;17.990;11.192;42,2;26,2;34.436;75.343;11.201;38.136;32.874;20.949;2,2;80.857;38.177;42.680;3.154;11.135;29.376;8,3
85.950;127.940;956;49;16.608;19.028;7.866;43,4;18;35.484;71.790;14.501;36.993;33.596;21.301;2;82.518;39.608;42.910;3.701;10.112;23.950;9
31.225;861.009;26.239;742;16.932;16.773;6.864;41,1;16,8;30.841;69.161;8.988;37.214;28.572;20.404;2,2;76.673;36.517;40.156;3.383;9.668;21.981;9
535.294;111.591;1.026;20.840;9.081;13.910;14.194;36,9;37,6;30.752;67.177;10.446;34.827;29.508;18.978;2,2;72.205;33.884;38.321;2.661;10.317;22.129;5,8
117.037;174.324;1.957;4;15.660;17.115;6.059;44;15,6;31.201;60.428;12.928;34.329;29.926;19.840;1,9;69.836;33.621;36.215;2.613;8.401;19.185;12,9
126.896;353.645;3.593;281;12.416;15.285;10.705;39,5;27,7;19.422;60.120;5.203;25.078;22.281;17.632;3,1;67.679;31.605;36.074;2.583;8.602;16.173;19,3
9.485;202.690;3.357;1.140;10.775;14.041;6.635;44;20,8;20.504;52.288;4.988;25.748;19.346;14.434;2,6;61.529;28.754;32.775;2.181;9.927;18.223;8,1
11.821;13.658;276;1.769;10.750;15.206;7.460;45,5;22,3;22.170;54.698;5.168;22.878;20.586;13.915;2,5;60.524;29.446;31.078;2.584;6.071;16.005;14,6
40.383;113.375;1.234;27;12.288;10.962;5.141;39;18,3;23.722;50.711;8.467;25.619;22.843;15.851;2,1;52.703;25.560;27.143;2.260;5.180;8.833;24,4
52.649;83.686;1.025;1.070;7.668;12.964;9.082;43,3;30,4;21.570;47.591;6.992;25.683;20.219;14.199;2,2;55.171;25.915;29.256;1.955;6.214;17.178;15,5
14.978;19.072;445;1.013;8.217;12.850;6.770;45,7;24,1;21.732;70.308;3.959;27.270;22.335;16.519;3,2;51.632;24.519;27.113;2.221;6.542;24.010;8,7
21.563;11.809;223;1.816;7.944;10.529;5.712;43,4;23,6;20.021;55.437;3.678;21.849;19.526;13.522;2,8;48.141;22.904;25.237;1.977;6.706;19.943;6,3
11.049;17.871;194;0;19.843;11.560;4.794;31,6;13,1;24.560;59.796;5.345;25.021;22.950;15.695;2,4;70.347;34.555;35.792;3.612;5.389;16.253;16,2
:;159.656;3.036;0;18.367;8.990;4.121;28,6;13,1;19.134;50.751;3.710;19.951;17.939;12.126;2,7;55.644;27.386;28.258;2.531;4.079;8.668;20,9
3.260;66.845;1.006;0;14.828;12.305;5.657;37,3;17,2;20.524;54.633;4.087;24.853;19.505;14.255;2,7;60.058;29.081;30.977;2.424;6.575;13.825;14
104.308;84.201;546;0;11.546;12.378;4.939;43;17,1;29.799;70.483;8.304;32.084;28.042;20.759;2,4;50.868;24.791;26.077;2.221;4.129;12.790;19,4
5.500;8.334;343;0;16.933;9.821;3.809;31,9;12,4;20.287;58.288;3.749;25.082;19.330;14.426;2,9;55.517;27.478;28.039;2.541;4.635;9.027;17,8
